Date,Open,High,Low,Close,Adj Close,Volume
2020-07-17,12393.649414,12462.384766,12349.181641,12428.277344,12428.277344,18937772921
2020-07-18,12427.994141,12535.675781,12358.919922,12437.976563,12437.976563,16639032803
2020-07-19,12436.572266,12492.278320,12354.585938,12469.287109,12469.287109,17564049329
2020-07-20,12471.192383,12528.929688,12386.917969,12395.200195,12395.200195,18605321210
2020-07-21,12392.877930,12662.100586,12371.182617,12604.208008,12604.208008,24293920504
2020-07-22,12604.467773,12788.193359,12551.989258,12781.589844,12781.589844,22183773152
2020-07-23,12783.976563,12833.322266,12715.523438,12843.043945,12843.043945,24324522006
2020-07-24,12848.999023,12910.139648,12717.910156,12796.078125,12796.078125,22209594136
2020-07-25,12799.556641,13019.099609,12785.208984,12982.283203,12982.283203,22283157610
2020-07-26,12986.470703,13447.388672,12949.728516,13288.445313,13288.445313,27512854690
2020-07-27,13288.513672,15132.352539,13270.785156,14662.375000,14662.375000,47171673941
2020-07-28,14697.847656,14954.057617,14239.188477,14600.233398,14600.233398,38486682473
2020-07-29,14600.407227,15074.244141,14523.107422,14809.401367,14809.401367,32842463658
2020-07-30,14808.553711,14991.455078,14615.348633,14902.149414,14902.149414,30655706597
2020-07-31,14900.803711,15303.056641,14749.482422,15186.410156,15186.410156,31061548225
2020-08-01,15185.208984,15818.503906,15074.043945,15771.319336,15771.319336,34971254848
2020-08-02,15770.208008,16139.532227,14776.910156,14809.831055,14809.831055,36724501598
2020-08-03,14796.640625,15343.517578,14763.297852,15064.877930,15064.877930,27154669667
2020-08-04,15064.682617,15253.827148,14884.993164,14900.923828,14900.923828,28257237015
2020-08-05,14898.171875,15640.133789,14838.566406,15582.918945,15582.918945,32382554329
2020-08-06,15586.698242,15834.939453,15384.301758,15690.246094,15690.246094,31168967107
2020-08-07,15689.075195,15876.801758,15280.100586,15529.151367,15529.151367,30963757388
2020-08-08,15533.274414,15794.623047,15471.192383,15733.025391,15733.025391,23520550857
2020-08-09,15710.644531,15802.642578,15458.279297,15633.231445,15633.231445,23417711747
2020-08-10,15615.178711,16110.857422,15615.178711,15862.410156,15862.410156,34873621577
2020-08-11,15867.132813,15914.477539,14895.834961,15187.808594,15187.808594,35990897086
